,Ephys t-SNE x,Ephys t-SNE y,Morph t-SNE x,Moprh t-SNE y,Morphoelectric t-SNE x,Morphoelectric t-SNE y
20180509_sample_3,36.62,-26.27,35.65,-11.65,31.74,-14.44
20180509_sample_4,,,35.6,-10.98,,
20180509_sample_5,29.99,-23.51,36.56,-15.62,30.2,-15.47
20180509_sample_7,47.83,-0.4,34.0,5.72,33.36,5.22
20180509_sample_9,44.18,-18.78,,,,
20180510_sample_2,-40.53,10.45,-19.27,-17.83,-36.05,5.22
20180510_sample_3,34.23,-18.4,,,,
20180510_sample_4,40.9,-25.47,,,,
20180510_sample_5,27.09,-9.94,37.71,1.55,28.58,2.86
20180510_sample_9,22.92,8.69,,,,
20180515_sample_1,-34.24,-9.54,-13.56,-10.11,-29.12,4.36
20180515_sample_6,-44.66,-3.04,,,,
20180522_sample_1,37.37,-30.64,,,,
20180522_sample_2,37.94,-23.61,,,,
20180522_sample_3,31.54,-7.75,,,,
20180522_sample_4,47.25,3.14,38.38,3.74,30.25,2.98
20180522_sample_5,-40.08,-14.4,,,,
20180522_sample_6,52.95,-0.88,,,,
20180522_sample_7,38.27,-27.6,33.62,-13.44,29.29,-15.8
20180524_sample_5,-32.86,-25.22,,,,
20180524_sample_8,18.89,-16.55,35.91,-1.63,30.65,-3.57
20180524_sample_9,-52.94,-9.33,-25.74,-9.79,-27.91,-2.75
20180529_sample_3,49.47,-3.84,33.88,-8.46,26.81,-5.83
20180608_sample_1,-4.1,21.53,,,,
20180608_sample_2,-53.73,4.17,,,,
20180608_sample_3,33.91,-7.03,,,,
20180608_sample_5,-49.97,3.93,,,,
20180619_sample_3,-43.55,-18.32,,,,
20180619_sample_5,37.74,-25.75,,,,
20180619_sample_7,0.24,-9.59,,,,
20180621_sample_1,39.02,-24.27,,,,
20180621_sample_2,40.68,-24.75,31.01,-11.54,33.69,-13.44
20180621_sample_3,-0.35,11.71,,,,
20180621_sample_4,34.97,-28.74,32.18,-11.73,32.85,-14.82
20180621_sample_5,2.86,37.48,,,,
20180621_sample_7,-46.17,-18.98,-14.59,1.1,-24.91,-0.48
20180621_sample_8,-48.51,10.74,,,,
20180628_sample_2,-51.1,-0.69,-16.52,-17.93,-33.5,1.61
20180628_sample_3,-44.64,-17.98,,,,
20180628_sample_4,-34.44,-23.29,,,,
20180628_sample_6,-51.43,-0.29,,,,
20180628_sample_7,-0.1,6.54,,,,
20180703_sample_1,-42.29,6.6,,,,
20180703_sample_2,36.66,-18.2,,,,
20180703_sample_3,27.98,-8.62,,,,
20180704_sample_1,-40.7,8.09,,,,
20180704_sample_2,-36.5,-19.16,,,,
20180704_sample_3,-36.4,-23.28,,,,
20180704_sample_4,16.48,-18.79,,,,
20180704_sample_5,-54.44,-2.67,-15.31,-13.51,-31.95,1.83
20180705_sample_1,-39.82,4.87,-21.8,-4.94,-35.18,-8.44
20180705_sample_4,-36.22,-10.51,,,,
20180709_sample_2,52.09,-7.63,35.06,-7.98,32.61,-10.59
20180709_sample_3,4.47,-20.39,,,,
20180709_sample_4,51.68,-6.93,,,,
20180709_sample_6,30.33,-6.86,,,,
20180710_sample_1,-49.1,-5.36,,,,
20180710_sample_2,-48.4,2.68,,,,
20180710_sample_3,-50.27,-1.21,,,,
20180710_sample_5,-40.88,-16.83,,,,
20180711_sample_1,-42.63,-17.3,-18.64,5.32,-25.22,-1.61
20180711_sample_2,-10.59,15.66,,,,
20180711_sample_3,-13.25,37.96,-17.55,-9.32,-11.22,13.72
20180711_sample_4,-6.26,38.28,,,,
20180712_sample_2,-3.78,-19.16,,,,
20180712_sample_3,-5.39,12.42,,,,
20180712_sample_5,-56.21,-1.78,,,,
20180712_sample_11,-47.94,10.57,,,,
20180712_sample_12,-39.83,4.08,,,,
20180712_sample_13,39.5,-25.51,34.86,-17.78,31.18,-17.35
20180712_sample_14,-38.39,-16.47,-14.68,-12.54,-28.48,3.2
20180712_sample_15,-40.85,2.46,,,,
20180717_sample_1,-51.08,-9.17,,,,
20180717_sample_2,-11.68,33.88,,,,
20180717_sample_3,-39.28,-17.38,-26.63,-8.73,-30.5,-4.99
20180717_sample_4,-48.99,1.4,-17.2,-5.69,-35.38,-1.42
20180717_sample_6,-48.87,-11.06,,,,
